,Brand,Varieties,Type,Centi_liter,Year,ABV_Percent,Price
0,Angel's Envy,Straight Port Cask Finish Bourbon,Bourbon,70cl,,3% ABV,£59.95
1,Angel's Envy,Manhattan Bundle - Martini Rubino Vermouth & Straight Port Cask Finish Bourbon,Bourbon,70cl,,3% ABV,£79.95
2,Buffalo Trace,Traveller Bourbon Whiskey (Chris,Bourbon,70cl,,45% ABV,£31.95
3,Buffalo Trace,Kosher Wheat Recipe Bourbon,Bourbon,75cl,,47% ABV,£43.95
4,Elijah Craig,Barrel Proof Kentucky Straight Bourbon,Barrel,70cl,,8% ABV,£124.95
5,Maker's Mark,Kentucky Straight Bourbon,Kentucky,70cl,,45% ABV,£35.95
6,Ben Holladay,Soft Red Wheat Bottled In Bond Straight Bourbon,Bourbon,70cl,,50% ABV,£79.95
7,Booker's,2024-01 Batch Bourbon,Bourbon,70cl,7 Year Old,2% ABV,£89.95
8,Wild Turkey,Rare Breed Kentucky Straight Bourbon,Kentucky,70cl,,4% ABV,£59.95
9,Wild Turkey,81 Kentucky Straight Bourbon,Kentucky,70cl,,5% ABV,£29.95
10,Maker's Mark,46 Kentucky Straight Bourbon,Kentucky,70cl,,47% ABV,£39.95
11,Wild Turkey,101 Kentucky Straight Bourbon,Kentucky,70cl,,5% ABV,£39.95
12,Old Bardstown,Kentucky Straight Bourbon,Kentucky,70cl,,45% ABV,£39.95
13,Leiper’s Fork,Bottled In Bond Bourbon,Bourbon,70cl,4 Year Old,50% ABV,£79.95
14,Leiper’s Fork,Bottled In Bond Tennessee Bourbon,Tennessee,70cl,4 Year Old,50% ABV,£79.95
15,Old Forester,1870 Original Batch Kentucky Straight Bourbon,Kentucky,70cl,,45% ABV,£47.95
16,Jim Beam,Black Extra-Aged Bourbon,Bourbon,70cl,,43% ABV,£27.65
17,Elijah Craig,Single Barrel Bourbon,Barrel,70cl,18 Year Old,45% ABV,£219.95
18,Buffalo Trace,Kosher Rye Recipe Bourbon,Rye,75cl,,47% ABV,£39.95
