Brand,Varieties,Type,Centi_liter,Year,ABV_Percent,Price_Rupees,ABV_Category,Mili_liter
Angel's Envy,Straight Port Cask Finish Bourbon,Bourbon,70,NAS,3,6810,Low,700
Angel's Envy,Manhattan Bundle - Martini Rubino Vermouth & Straight Port Cask Finish Bourbon,Bourbon,70,NAS,3,9082,Low,700
Buffalo Trace,Traveller Bourbon Whiskey (Chris,Bourbon,70,NAS,45,3630,Medium,700
Buffalo Trace,Kosher Wheat Recipe Bourbon,Bourbon,75,NAS,47,4993,High,750
Elijah Craig,Barrel Proof Kentucky Straight Bourbon,Barrel,70,NAS,8,14194,Low,700
Maker's Mark,Kentucky Straight Bourbon,Kentucky,70,NAS,45,4084,Medium,700
Ben Holladay,Soft Red Wheat Bottled In Bond Straight Bourbon,Bourbon,70,NAS,50,9082,High,700
Booker's,2024-01 Batch Bourbon,Bourbon,70,7 Year Old,2,10218,Low,700
Wild Turkey,Rare Breed Kentucky Straight Bourbon,Kentucky,70,NAS,4,6810,Low,700
Wild Turkey,81 Kentucky Straight Bourbon,Kentucky,70,NAS,5,3402,Low,700
Maker's Mark,46 Kentucky Straight Bourbon,Kentucky,70,NAS,47,4538,High,700
Wild Turkey,101 Kentucky Straight Bourbon,Kentucky,70,NAS,5,4538,Low,700
Old Bardstown,Kentucky Straight Bourbon,Kentucky,70,NAS,45,4538,Medium,700
Leiper’s Fork,Bottled In Bond Bourbon,Bourbon,70,4 Year Old,50,9082,High,700
Leiper’s Fork,Bottled In Bond Tennessee Bourbon,Tennessee,70,4 Year Old,50,9082,High,700
Old Forester,1870 Original Batch Kentucky Straight Bourbon,Kentucky,70,NAS,45,5447,Medium,700
Jim Beam,Black Extra-Aged Bourbon,Bourbon,70,NAS,43,3141,Medium,700
Elijah Craig,Single Barrel Bourbon,Barrel,70,18 Year Old,45,24986,Medium,700
Buffalo Trace,Kosher Rye Recipe Bourbon,Rye,75,NAS,47,4538,High,750
Basil Hayden's,Kentucky Straight Bourbon,Kentucky,70,NAS,40,5674,High,700
SirDavis,Sherry Cask Rye,Rye,70,NAS,44,8969,Medium,700
Wild Turkey,Kentucky Straight Rye,Kentucky,70,NAS,5,4198,Low,700
Elijah Craig,Kentucky Straight Rye,Kentucky,70,NAS,47,5561,High,700
Jack Daniel's,Bonded Rye Tennessee,Rye,70,NAS,50,4879,High,700
Rebel,Straight Rye,Rye,70,NAS,45,4538,Medium,700
Buffalo Trace,Kosher Straight Rye,Rye,75,NAS,47,4538,High,750
Knob Creek,Small Batch Kentucky Straight Rye,Kentucky,70,NAS,50,5334,High,700
Sagamore,Double Oak Rye,Rye,70,NAS,3,8742,Low,700
New York Distilling,Ragtime Rye Bottled In Bond,Rye,70,4 Year Old,50,5674,High,700
Rabbit Hole,Boxergrail Kentucky Straight Rye,Kentucky,70,NAS,5,5334,Low,700
WhistlePig,Vermont Oak Finish Rye,Rye,70,15 Year Old,46,28394,Medium,700
Balcones,Texas Rye 100 Proof,Rye,70,NAS,50,5674,High,700
WhistlePig,Piggyback 100% Rye,Rye,70,6 Year Old,3,5561,Low,700
Few,Immortal Rye,Rye,70,NAS,5,7606,Low,700
Willett's,Family Reserve Rye,Rye,70,4 Year Old,4,9082,Low,700
James E Pepper,1776 Straight Rye,Rye,70,NAS,46,5106,Medium,700
New York Distilling,Ragtime Rye,Rye,70,NAS,2,4527,Low,700
Heaven's Door,Straight Rye Whiskey (Bob,Rye,70,NAS,43,7946,Medium,700
Few,Rye,Rye,70,NAS,5,7946,Low,700
Jack Daniel's,Tennessee Rye,Tennessee,70,NAS,45,3743,Medium,700
Jack Daniel's,American Single Malt Sherry Cask Whiskey (1,American,100,NAS,45,13626,Medium,1000
Davidson Reserve,Four Grain Tennessee,Tennessee,70,NAS,50,6242,High,700
Davidson Reserve,Sour Mash Tennessee,Tennessee,70,NAS,48,5447,High,700
Uncle Nearest,1856 Premium,Tennessee,70,NAS,50,8514,High,700
Jack Daniel's,Bonded Tennessee,Tennessee,70,NAS,50,4538,High,700
Jack Daniel's,Triple Mash Tennessee,Tennessee,70,NAS,50,4538,High,700
Uncle Nearest,1884 Small Batch,Tennessee,70,NAS,5,6810,Low,700
Heaven's Door,Double Barrel Whiskey (Bob,Barrel,70,NAS,50,8514,High,700
Heaven's Door,Tennessee Bourbon Whiskey (Bob,Tennessee,70,NAS,42,6810,Medium,700
Jack Daniel's,Single Barrel Select,Barrel,70,NAS,45,5106,Medium,700
Jack Daniel's,Single Barrel Cask Strength,Barrel,70,NAS,5,9082,Low,700
Jack Daniel's,Single Barrel Rye,Barrel,70,NAS,45,7151,Medium,700
Jack Daniel's,Old No. 7 Guitar Case,Barrel,70,NAS,40,5674,High,700
Jack Daniel's,No. 27 Gold Maple Wood Finish,Barrel,70,NAS,40,10446,High,700
Jack Daniel's,Frank Sinatra Select Whiskey (1,Barrel,100,NAS,45,17602,Medium,1000
Blanton's,Straight From The Barrel - Single Cask #428,Barrel,70,NAS,35,17034,Low,700
Eagle Rare,Double Eagle Very Rare,Eagle,70,NAS,5,477114,Low,700
Yellowstone,Select Rum Finish,Rum Finish,70,NAS,50,6810,High,700
Woodford Reserve,Kentucky Derby 145 Whiskey (1,Kentucky,100,NAS,2,6810,Low,1000
Yellowstone,108 Proof American Single Malt,American,70,NAS,54,7719,High,700
Booker's,2024-01 Batch Bourbon,Bourbon,70,NAS,2,10218,Low,700
Buffalo Trace,Bourbon Cream,Bourbon,70,NAS,15,2266,Low,700
Blanton's,Original Single Barrel Bourbon,Barrel,70,NAS,5,7946,Low,700
Blanton's,Gold Edition Single Barrel Bourbon,Barrel,70,NAS,5,12945,Low,700
Eagle Rare,Kentucky Straight Bourbon,Kentucky,70,NAS,45,4766,Medium,700
Buffalo Trace,Kentucky Straight Bourbon,Kentucky,70,NAS,40,3175,High,700
Sazerac,Straight Rye,Rye,70,NAS,45,4993,Medium,700
Blanton's,Straight From The Barrel - Single Cask #418,Barrel,70,NAS,8,19306,Low,700
Blanton's,Straight From The Barrel - Single Cask #427,Barrel,70,NAS,8,22714,Low,700
William Larue Weller,Full Proof Bourbon,Bourbon,75,NAS,57,28394,High,750
Stagg Jr,Batch 23C Barrel Proof Kentucky Straight Bourbon,Barrel,75,NAS,95,31802,High,750
Buffalo Trace,Ice Mould & Kentucky Straight Bourbon,Kentucky,70,NAS,40,3402,High,700
Buffalo Trace,Rock Hill Farms Single Barrel Bourbon,Barrel,70,NAS,50,52250,High,700
Blanton's,Straight From The Barrel - Single Cask #1461,Barrel,70,NAS,7,22714,Low,700
Blanton's,Straight From The Barrel - Single Cask #2174,Barrel,70,NAS,7,34074,Low,700
Bushmills,Single Malt Rare Irish,Irish,70,NAS,46,215834,Medium,700
Bushmills,Single Malt Rare Irish,Irish,70,NAS,46,89738,Medium,700
Bushmills,Irish Single Malt,Irish,70,NAS,40,5447,High,700
Bushmills,Irish Single Malt,Irish,70,NAS,40,24532,High,700
Bushmills,American Oak Cask Finish Irish,American,70,NAS,40,3402,High,700
Bushmills,Caribbean Rum Cask Finish,American,70,NAS,40,3516,High,700
Bushmills,Original & Black Bush 35cl Gift Pack,American,35,NAS,40,3630,High,350
Bushmills,Original Irish,Irish,70,NAS,40,3175,High,700
Bushmills,Black Bush Irish,Irish,70,NAS,40,3970,High,700
Bushmills,Highball Glass & American Oak Cask Finish Irish,American,70,NAS,40,3630,High,700
Bushmills,Highball Glass & Irish Single Malt,Irish,70,NAS,40,5561,High,700
Bushmills,Highball Glass & Caribbean Rum Cask Finish,Irish,70,NAS,40,3630,High,700
Bushmills,Highball Glass & Original Irish,Irish,70,NAS,40,3289,High,700
Bushmills,Highball Glass & Black Bush Irish,Irish,70,NAS,40,4425,High,700
Bushmills,Coaster & Irish Single Malt,Irish,70,NAS,40,4879,High,700
Bushmills,Irish Single Malt,Irish,70,NAS,40,4879,High,700
Bushmills,Branded Glass & Caribbean Rum Cask Finish,Irish,70,NAS,40,3289,High,700
Bushmills,Branded Glass & Original Irish,Irish,70,NAS,40,3289,High,700
Bushmills,Branded Glass & Black Bush Irish,Irish,70,NAS,40,4425,High,700
Bushmills,The Causeway Collection - Rum Cask Whiskey (UK,Irish,70,NAS,2,39641,Low,700
Midleton,Very Rare Barry Crockett Legacy,Very Rare,70,NAS,46,32938,Medium,700
Midleton,Very Rare 2025 Edition,Very Rare,70,NAS,40,24986,High,700
Midleton,Forêt De Troncais Edition 2,Very Rare,70,NAS,48,499834,High,700
Midleton,Very Rare Silent Distillery Chapter 5,Very Rare,70,NAS,4,5452794,Low,700
Midleton,Very Rare 40th Anniversary Ruby,Very Rare,70,NAS,40,2010714,High,700
Midleton,Very Rare 2024 Edition,Very Rare,70,NAS,40,22714,High,700
Midleton,Very Rare Foret De Troncais,Very Rare,70,NAS,48,485634,High,700
Midleton,Very Rare 2023 Edition,Very Rare,70,NAS,40,28394,High,700
Midleton,Very Rare Silent Distillery Chapter 3,Very Rare,70,NAS,7,4771194,Low,700
Midleton,Very Rare 2022 Edition,Very Rare,70,NAS,40,68154,High,700
Midleton,Dair Ghaelach Knockrath Forest - Tree 2,Very Rare,70,NAS,3,90874,Low,700
Midleton,Dair Ghaelach Knockrath Forest - Tree 5,Very Rare,70,NAS,5,113594,Low,700
Midleton,Very Rare 2021 Edition,Very Rare,70,NAS,40,68154,High,700
Midleton,Very Rare 2020 Edition,Very Rare,70,NAS,40,170394,High,700
Midleton,Very Rare 2019 Edition,Very Rare,70,NAS,40,113594,High,700
Midleton,Very Rare 2013 Edition,Very Rare,70,NAS,40,170394,High,700
Midleton,Very Rare 2017 Edition,Very Rare,70,NAS,40,124954,High,700
Midleton,Very Rare 2001 Edition,Very Rare,70,NAS,40,181754,High,700
Midleton,Very Rare 2018 Edition,Very Rare,70,NAS,40,113594,High,700
Midleton,Very Rare 2017 Edition,Very Rare,70,NAS,40,170394,High,700
Redbreast,Single Pot Still Irish,Irish,70,NAS,46,20783,Medium,700
Redbreast,Single Pot Still Irish,Irish,70,NAS,40,6242,High,700
Redbreast,Single Pot Still Irish,Irish,70,NAS,46,33506,Medium,700
Redbreast,Single Pot Still Irish - Batch 6,Irish,70,NAS,9,61906,Low,700
Redbreast,Iberian Series #1 Single Pot Still PX,Irish,70,NAS,46,8742,Medium,700
Redbreast,Glass & Single Pot Still,Irish,70,NAS,46,33506,Medium,700
Redbreast,Glass & Single Pot Still Irish,Irish,70,NAS,40,6810,High,700
Redbreast,Tasting Glass & Single Pot Still Irish,Irish,70,NAS,40,6583,High,700
Redbreast,Cask Strength Batch B1/23,Irish,70,NAS,2,10218,Low,700
Redbreast,Birdfeeder & Single Malt,Irish,70,NAS,40,7946,High,700
Redbreast,Iberian Series #2 Single Pot Still Tawny Port,Irish,70,NAS,46,17034,Medium,700
Redbreast,Cask Strength Batch B1-22,Irish,70,NAS,1,10218,Low,700
Redbreast,Birdfeeder & Miniature Gift Pack,Irish,70,NAS,40,10786,High,700
Redbreast,Birdfeeder & 12 Year Old,Irish,70,NAS,40,8742,High,700
Redbreast,Cask Strength Batch B1-20,Irish,70,NAS,6,24986,Low,700
Redbreast,Family Collection Miniature Gift Pack Whiskey (3 x,Irish,5,NAS,46,3857,Medium,50
Redbreast,Cask Strength Batch B2-19,Irish,70,NAS,8,17034,Low,700
Redbreast,Lustau Edition Irish,Irish,70,NAS,46,7378,Medium,700
Redbreast,Single Pot Still Irish,Irish,70,NAS,46,7378,Medium,700
Redbreast,Single Pot Still Irish - Batch 5,Irish,70,NAS,6,7378,Low,700
Blue Spot,Cask Strength Single Irish Pot Still Batch #3,Irish,70,NAS,1,10673,Low,700
Gold Spot,Generations Edition,Irish,70,NAS,46,14081,Medium,700
Red Spot,Single Pot Still Irish,Irish,70,NAS,46,13740,Medium,700
Green Spot,Leoville Barton Bordeaux Wine Cask Finish Irish,Irish,70,NAS,46,7378,Medium,700
Yellow Spot,Single Pot Still Irish,Irish,70,NAS,46,9082,Medium,700
Green Spot,Single Pot Still Irish,Irish,70,NAS,40,5674,High,700
Irish Spot,"Gold, Green & Yellow Spot Whiskey Bundle Irish Whiskey (3 x",Irish,70,NAS,4,29530,Low,700
Green Spot,Quails' Gate Pinot Noir Wine Cask Finish Irish,Irish,70,NAS,46,17034,Medium,700
Gold Spot,135th Anniversary Limited Edition Irish,Irish,70,NAS,4,28383,Low,700
Irish Spot,"Blue, Red, Green & Yellow Bundle Irish Whiskey (4 x",Irish,70,NAS,40,39186,High,700
Green Spot,Chateau Montelena Zinfandel Wine Cask Finish Irish,Irish,70,NAS,46,7946,Medium,700
Irish Spot,"Gold, Green, Yellow & Red Bundle Irish Whiskey (4 x",Irish,70,NAS,4,7378,Low,700
Blue Spot,Cask Strength Single Irish Pot Still Batch #2,Irish,70,NAS,9,7378,Low,700
Irish Spot,Blue & Red Spot Bundle Irish Whiskey (2 x,Irish,70,NAS,8,7378,Low,700
Blue Spot,Cask Strength Single Irish Pot Still Batch #1,Irish,70,NAS,7,7378,Low,700
Green Spot,Mitchell & Son Irish Whiskey (Old,Irish,70,NAS,40,7378,High,700
Jameson,Triple Triple Irish,Irish,70,NAS,40,3630,High,700
Jameson,Single Pot Still Batch #1 Irish,Irish,70,NAS,46,5674,Medium,700
Jameson,Triple Distilled Irish,Irish,70,NAS,46,21578,Medium,700
Jameson,Crested - Triple Distilled Irish,Irish,70,NAS,40,3970,High,700
Jameson,Triple Distilled Irish,Irish,70,NAS,40,3175,High,700
Jameson,Black Barrel Irish,Barrel,70,NAS,40,4311,High,700
Jameson,Caskmates - IPA Edition,Barrel,70,NAS,40,3289,High,700
Jameson,Caskmates - Stout Edition,Barrel,70,NAS,40,3289,High,700
Jameson,Black Barrel Glass Pack Irish,Barrel,70,NAS,40,5106,High,700
